文件,对应条目,数据层,类型,行数,说明
01_缺09点日盘集合竞价.csv,P0-1,raw,问题清单,27436,2023-05-26 起上期所/能源中心/大商所有夜盘品种逐日逐品种，n0900 恒为 0
01b_缺09点日盘集合竞价_按品种汇总.csv,P0-1,raw,问题清单,39,39 个受规则约束的品种，各自的交易日数与有 09:00 的天数
02_节后夜盘padding.csv,P0-2,raw,问题清单,1515,28 个 padding 交易日 × 逐交易所逐品种的伪造 K 线数与时段
02b_节后夜盘padding_按交易日汇总.csv,P0-2,raw,问题清单,28,逐个 padding 交易日的伪造总量、涉及交易所与品种数
02c_普通交易日整夜零成交_非伪造.csv,P0-2,raw,★对照组·非问题,1342,真实的整夜无人交易（僵尸品种）。请勿与 padding 混为一谈，不要删
02d_节后首日清单与padding情况.csv,P0-2,raw,判据,110,全部节后首日清单及是否被 padding，新旧格式期对比的原始数据
03_竞价被错标到夜盘末根.csv,P0-3,raw,问题清单,775,逐合约：该根价格距日盘开盘价与距 padding 价的相对偏离及判定
03b_节后首日竞价直接丢失.csv,P0-3,raw,问题清单,13,盘前无任何带量 bar 的交易日（竞价数据被丢弃，多为周一）
04_竞价K线平bar比例_按年按交易所.csv,P0-4,raw,判据,82,21:00 与 09:00 竞价 K 线的平 K 线比例，按年按交易所
04b_郑商所竞价平bar比例_按品种.csv,P0-4,raw,问题清单,33,郑商所逐品种的竞价平 K 线比例与样本数
05_缺失交易日文件.csv,P0-5,raw,问题清单,343,区间内全部缺失工作日的逐日判据、休市对照与最终定性
05b_逐年文件数.csv,P0-5,raw,判据,17,逐年 raw 文件数与缺失交易日数，用于交叉验证
06_假期被伪造成整日.csv,P0-6,raw,问题清单,101,2024-01-01 与 2025-01-01 被伪造成完整交易日，逐交易所逐品种
07_成交额整万元比例_按年按交易所.csv,P1-7,raw,判据,82,逐合约全日成交额恰为整万元的比例，郑商所与其余五所对照
07b_负值与vwap越界_按年按交易所.csv,P1-7,raw,问题清单,82,负成交额/负成交量/负持仓量与 vwap 越界的逐年逐交易所计数
07c_vwap越界_按品种.csv,P1-7 / P1-8,raw,问题清单,86,vwap 落在该根 [low high] 之外的 bar，按品种，含最大偏离
09_RU_vwap越界_逐日.csv,P1-8,raw,问题清单,3989,天然橡胶 RU 逐交易日的 vwap 越界 bar 数与占比
P1-9a_零价K线块明细.csv,P1-9,raw,问题清单,8497,8497 个零价块：起止时刻、块长、块内成交 bar 数、prev_close 与 seed_vwap（两个修复输入值）、合约活跃度。★一个块 = 一次独立故障
P1-9b_零价K线孤立坏根.csv,P1-9,raw,问题清单,2483,形态 B：只有 open 与 low 为 0，close 有效因此不传染。2015-2022，2022 年后消失
P1-9c_可核查案例清单.csv,P1-9,raw,★核查用,54,2026 年案例，每行给出文件名/合约/起止时刻/两类 bar 各自应填的价格，可直接对照 raw 逐条核查
P1-9d_出错的首笔成交明细.csv,P1-9,raw,问题清单,9661,9661 次独立故障逐条记录，含 gap 与首笔成交手数，用于复算发生条件
raw_hard_errors.csv,P1-9,raw,问题清单,139061,OHLC<=0 与量额矛盾的逐合约汇总（按合约日，非按块）
08_九品种raw覆盖.csv,S-1,raw,★对照组·证明 raw 完整,6718,9 个品种在 raw 中的逐日合约数，证明无 2024-04-22 断点
08b_九品种raw覆盖汇总.csv,S-1,raw,★对照组,9,9 个品种的首末交易日、交易日数与缺口（缺口全部为 0）
layer_diff_by_contract.csv,S-2,跨层,问题清单,57,两层 bar 数不一致的 (合约×交易日) 全部明细，仅 5 个交易日
layer_diff_calendar_days.csv,S-2 / P0-5,跨层,混合,35,只在二级数据出现的日历日。★注意：其中 32 天带真实成交量，是 P0-5 的 raw 文件缺失所致（是 raw 少了不是二级多了）；只有 3 天零成交属伪造
layer_missing_days_by_product.csv,S-6,跨层,问题清单,70,raw 有而二级数据缺的交易日，按品种。全品种共同缺失 2025-09-10 / 2026-02-12 / 2026-02-13
二级层/qc_A1_truncation.csv,S-1,二级,问题清单,79,逐品种首末交易日、停更当日持仓量与成交量
二级层/qc_A3_missing_sessions.csv,S-6,二级,问题清单,79,逐品种在存活区间内的缺失交易日数与样例
二级层/qc_D4_K_availability.csv,S-3,二级,问题清单,79,逐品种复权因子 K 的缺失率与非正值率
二级层/qc_D6_contract_switch_by_symbol.csv,S-4,二级,问题清单,78,逐品种合约切换总次数与其中盘中切换的次数
二级层/qc_B1_padding_250d.csv,第三部分,二级,判据,79,近 250 交易日的 padding 基线，用于区分伪造与真实无成交
二级层/qc_B5_night_session.csv,第三部分,二级,★对照组,79,逐品种夜盘收盘时点，证明夜盘三档未被填充成统一时点
二级层/qc_E4_multiplier_by_year_fixed.csv,第三部分,二级,判据,79,按品种按年反推的合约乘数，用于成交额恒等式校验
二级层/qc_F4_usable_from.csv,参考,二级,参考,9,整日零成交天数统计（本文档未引用，仅存档）
